w_geocode,X_COORD,Y_COORD,TAZ_3700,College_name,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
530330072002016,1271247.73800,258784.28940,72,Seattle North,King,4513,4534,4555,4576,4597,4618,4639,4661,4682,4703,4724,4745,4766,4787,4808,4829,4850,4871,4892,4913,4935,4960,4986,5011,5037,5062,5088,5113,5139,5164,5190
530330080022012,1277042.22800,241968.18480,302,UW-Seattle,King,44672,44881,45089,45298,45507,45715,45924,46132,46341,46550,46758,46967,47176,47384,47593,47801,48010,48219,48427,48636,48844,49097,49350,49603,49856,50109,50362,50615,50867,51120,51373
530330223001003,1263850.36700,240700.37560,340,Seattle Pacific,King,3836,3854,3872,3890,3908,3926,3943,3961,3979,3997,4015,4033,4051,4069,4087,4105,4123,4141,4158,4176,4194,4216,4238,4259,4281,4303,4325,4346,4368,4390,4411
530530614002003,1268182.15400,228837.84820,465,Antioch University,King,681,684,687,691,694,697,700,703,706,710,713,716,719,722,726,729,732,735,738,741,745,748,752,756,760,764,768,772,775,779,783
530330234012015,1269768.16200,229126.10170,477,Cornish College Of The Arts,King,839,843,847,851,855,859,863,866,870,874,878,882,886,890,894,898,902,906,910,913,917,922,927,932,936,941,946,951,955,960,965
530330218042010,1266555.54200,226987.54820,457,Art Institute Of Seattle,King,2073,2083,2092,2102,2112,2121,2131,2141,2150,2160,2170,2179,2189,2199,2209,2218,2228,2238,2247,2257,2267,2278,2290,2302,2314,2325,2337,2349,2360,2372,2384
530530718071003,1273407.72000,228626.00000,552,Seattle Central,King,6154,6183,6211,6240,6269,6298,6326,6355,6384,6413,6441,6470,6499,6528,6556,6585,6614,6643,6671,6700,6729,6764,6798,6833,6868,6903,6938,6973,7007,7042,7077
530330073003019,1273739.65700,226378.26930,584,Seattle University,King,7636,7672,7707,7743,7779,7814,7850,7886,7921,7957,7993,8028,8064,8100,8135,8171,8207,8242,8278,8314,8349,8392,8436,8479,8522,8565,8609,8652,8695,8738,8781
530330228012003,1265545.74200,203380.71180,756,Seattle South,King,4316,4336,4356,4376,4397,4417,4437,4457,4477,4497,4518,4538,4558,4578,4598,4618,4638,4659,4679,4699,4719,4744,4768,4792,4817,4841,4866,4890,4915,4939,4963
530330228031015,1265832.84600,275989.46190,1881,Shoreline,King,5110,5134,5158,5182,5205,5229,5253,5277,5301,5325,5349,5373,5396,5420,5444,5468,5492,5516,5540,5563,5587,5616,5645,5674,5703,5732,5761,5790,5819,5848,5877
