w_geocode,College
530330053022003,UW-Seattle
530330053023011,UW-Seattle
530330053022006,UW-Seattle
530330053021012,UW-Seattle
530330053023033,UW-Seattle
530330053021002,UW-Seattle
530330053022000,UW-Seattle
530330053023010,UW-Seattle
530330053023041,UW-Seattle
530330053023037,UW-Seattle
530330053021011,UW-Seattle
530330053023028,UW-Seattle
530330053023054,UW-Seattle
530330053023020,UW-Seattle
530330053023013,UW-Seattle
530330053023046,UW-Seattle
530330053023012,UW-Seattle
530330053023035,UW-Seattle
530330053022024,UW-Seattle
530330053021005,UW-Seattle
530330053023043,UW-Seattle
530330053023044,UW-Seattle
530330053023052,UW-Seattle
530330053023042,UW-Seattle
530330053023014,UW-Seattle
530330053023021,UW-Seattle
530330053023023,UW-Seattle
530330053023038,UW-Seattle
530330053023029,UW-Seattle
530330053023034,UW-Seattle
530330053022004,UW-Seattle
530330053023050,UW-Seattle
530330053021001,UW-Seattle
530330053021009,UW-Seattle
530330053023045,UW-Seattle
530330053023053,UW-Seattle
530330053022015,UW-Seattle
530330053023025,UW-Seattle
530330053022020,UW-Seattle
530330053021010,UW-Seattle
530330053021008,UW-Seattle
530330053022009,UW-Seattle
530330053022010,UW-Seattle
530330053022019,UW-Seattle
530330053022014,UW-Seattle
530330053023017,UW-Seattle
530330053023018,UW-Seattle
530330053023032,UW-Seattle
530330053023019,UW-Seattle
530330053022001,UW-Seattle
530330053021004,UW-Seattle
530330053021003,UW-Seattle
530330053021000,UW-Seattle
530330053022007,UW-Seattle
530330053023016,UW-Seattle
530330053022002,UW-Seattle
530330053022022,UW-Seattle
530330053021006,UW-Seattle
530330053023051,UW-Seattle
530330053023027,UW-Seattle
530330053023026,UW-Seattle
530330053023030,UW-Seattle
530330053022023,UW-Seattle
530330053022011,UW-Seattle
530330053022018,UW-Seattle
530330053023056,UW-Seattle
530330053022005,UW-Seattle
530330053021007,UW-Seattle
530330053022016,UW-Seattle
530330053023015,UW-Seattle
530330053023022,UW-Seattle
530330053023036,UW-Seattle
530330053023031,UW-Seattle
530330053023024,UW-Seattle
530330218042036,UW-Bothell
530330218042009,UW-Bothell
530330218042014,UW-Bothell
530330218042001,UW-Bothell
530330218042031,UW-Bothell
530330218042011,UW-Bothell
530330218042006,UW-Bothell
530330218042002,UW-Bothell
530330218042035,UW-Bothell
530330218042032,UW-Bothell
530330218042010,UW-Bothell
530330218042008,UW-Bothell
530330218042004,UW-Bothell
530330223001007,Bastyr
530330223001003,Bastyr
530330223001000,Bastyr
530330019001015,Seattle-North
530330019001020,Seattle-North
530330019001011,Seattle-North
530330019001017,Seattle-North
530330019001018,Seattle-North
530330019001021,Seattle-North
530330019001019,Seattle-North
530330019001022,Seattle-North
530610515003002,Edmonds
530610515003000,Edmonds
530610515003001,Edmonds
530610401002013,Everett
530330209003006,Shoreline
530330209003005,Shoreline
530330209003004,Shoreline
530330209003008,Shoreline
530330209003003,Shoreline
530330209003007,Shoreline
530330108001011,Seattle-South
530330108001013,Seattle-South
530330108001009,Seattle-South
530330108001005,Seattle-South
530330108001004,Seattle-South
530330108001008,Seattle-South
530330108001014,Seattle-South
530330084001006,Seattle-Central
530330084001001,Seattle-Central
530330084001007,Seattle-Central
530330084001000,Seattle-Central
530330084001009,Seattle-Central
530330084001008,Seattle-Central
530330074022005,Seattle-Central
530330086002013,Seattle-University
530330086002000,Seattle-University
530330086002014,Seattle-University
530330086001015,Seattle-University
530330086002009,Seattle-University
530330086002006,Seattle-University
530330086002005,Seattle-University
530330086002010,Seattle-University
530330086002011,Seattle-University
530330086002002,Seattle-University
530330086001009,Seattle-University
530330086001010,Seattle-University
530330086001016,Seattle-University
530330086001014,Seattle-University
530330086001013,Seattle-University
530330086002008,Seattle-University
530330086002007,Seattle-University
530330086002004,Seattle-University
530330086001012,Seattle-University
530330086002003,Seattle-University
530330086002012,Seattle-University
530330086002001,Seattle-University
530330234012036,Bellevue-College
530330234012015,Bellevue-College
530330234013026,Bellevue-College
530330234012022,Bellevue-College
530330234012031,Bellevue-College
530330234012021,Bellevue-College
530330234012037,Bellevue-College
530330234013005,Bellevue-College
530330254001023,Renton-Tech
530330254001020,Renton-Tech
530330254001021,Renton-Tech
530330312062001,Green-River
530330312061010,Green-River
530330312062005,Green-River
530330312062000,Green-River
530330312061003,Green-River
530330312062002,Green-River
530330312062006,Green-River
530330312061008,Green-River
530330312061009,Green-River
530530616021012,UW-Tacoma
530530616021014,UW-Tacoma
530530616021020,UW-Tacoma
530530616021015,UW-Tacoma
530530616021018,UW-Tacoma
530530616021022,UW-Tacoma
530530616021021,UW-Tacoma
530530616021019,UW-Tacoma
530530616021017,UW-Tacoma
530530616021013,UW-Tacoma
530530614003001,Bates-TC
530530614002015,Bates-TC
530530614002014,Bates-TC
530530614003002,Bates-TC
530530614002001,Bates-TC
530530614003016,Bates-TC
530530614002016,Bates-TC
530530614002003,Bates-TC
530530614003015,Bates-TC
530530614002002,Bates-TC
530530614003000,Bates-TC
530530607005012,Univ-PugetSound
530530607005014,Univ-PugetSound
530530607005020,Univ-PugetSound
530530607004003,Univ-PugetSound
530530607005018,Univ-PugetSound
530530607005011,Univ-PugetSound
530530607005017,Univ-PugetSound
530530607005016,Univ-PugetSound
530530607005015,Univ-PugetSound
530530607005013,Univ-PugetSound
530530607004002,Univ-PugetSound
530530610022005,Tacoma-CC
530530718071004,CloverPark
530530718071008,CloverPark
530530718071007,CloverPark
530530718071003,CloverPark
530530718071006,CloverPark
530530718031010,CloverPark
530530718031013,CloverPark
530530721074000,Pierce-Stelicoom
530530721074009,Pierce-Stelicoom
530530721074002,Pierce-Stelicoom
530530721074010,Pierce-Stelicoom
530530721074019,Pierce-Stelicoom
530530721074011,Pierce-Stelicoom
530530729072027,Pierce-JBLM
530530729072032,Pierce-JBLM
530530729072039,Pierce-JBLM
530530729072040,Pierce-JBLM
530530729072024,Pierce-JBLM
530530729072038,Pierce-JBLM
530530729072031,Pierce-JBLM
530530729072016,Pierce-JBLM
530530729072028,Pierce-JBLM
530530729072025,Pierce-JBLM
530530729072026,Pierce-JBLM
530530729072017,Pierce-JBLM
530530729072033,Pierce-JBLM
530530729072037,Pierce-JBLM
530530729072035,Pierce-JBLM
530530729072036,Pierce-JBLM
