,pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,daily_vmt_total,intrazonal_tons,interzonal_tons,running_daily_tons
0,1,Total Gaseous HCs,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0009101022427778364,0.40132439002806686,0.4022344922708447
1,1,Total Gaseous HCs,light,440918.910192822,39696766.771174334,40137685.68136716,0.04501254440243495,2.4258528864937503,2.4708654308961853
2,1,Total Gaseous HCs,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.0014223827315038818,0.7368305524709601,0.7382529352024639
3,1,Total Gaseous HCs,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.3360347510848299,0.3360347510848299
4,2,CO,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.007733959077844402,3.8001433230844612,3.8078772821623055
5,2,CO,light,440918.910192822,39696766.771174334,40137685.68136716,1.9979982012490327,115.0861271349813,117.08412533623033
6,2,CO,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.0070899016662659825,5.707190683578094,5.71428058524436
7,2,CO,transit,0.0,128670.92605175059,128670.92605175059,0.0,1.0642443469953278,1.0642443469953278
8,3,NOx,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.016013297708112256,8.766766124141943,8.782779421850055
9,3,NOx,light,440918.910192822,39696766.771174334,40137685.68136716,0.14106488848294485,9.686678425004658,9.827743313487602
10,3,NOx,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.004303599467372637,2.6724269714863156,2.6767305709536884
11,3,NOx,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.4167006373577501,0.4167006373577501
12,5,Methane,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0004210952721017038,0.15337792050956453,0.15379901578166624
13,5,Methane,light,440918.910192822,39696766.771174334,40137685.68136716,0.008467244722247443,0.46525723915892386,0.47372448388117133
14,5,Methane,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.000986774615523839,0.5048989541924614,0.5058857288079853
15,5,Methane,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.30828502408171854,0.30828502408171854
16,6,N20,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.00035295721525821337,0.27609337835122966,0.27644633556648784
17,6,N20,light,440918.910192822,39696766.771174334,40137685.68136716,0.003541160431126454,0.18148985846260288,0.18503101889372933
18,6,N20,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.00017450553058429887,0.15318402681140436,0.15335853234198865
19,6,N20,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.020560787785840442,0.020560787785840442
20,79,Non-methane HCs,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0004890069706761326,0.24794659314406406,0.2484356001147402
21,79,Non-methane HCs,light,440918.910192822,39696766.771174334,40137685.68136716,0.03654529497871562,1.9605957024721088,1.9971409974508245
22,79,Non-methane HCs,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.00043560784052947167,0.2319314955509861,0.2323671033915156
23,79,Non-methane HCs,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.027750067573166576,0.027750067573166576
24,87,VOCs,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0005438981479475826,0.27755914121361014,0.2781030393615577
25,87,VOCs,light,440918.910192822,39696766.771174334,40137685.68136716,0.03843210612421362,2.0606265865506543,2.099058692674868
26,87,VOCs,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.000463725948978322,0.2486797304576121,0.2491434564065904
27,87,VOCs,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.02791832969481204,0.02791832969481204
28,90,Atmospheric CO2,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,3.3807380757941696,2630.6734241056943,2634.054162181488
29,90,Atmospheric CO2,light,440918.910192822,39696766.771174334,40137685.68136716,246.56796446067506,15538.140510699082,15784.708475159758
30,90,Atmospheric CO2,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,2.2126715389812373,1911.3101971724996,1913.522868711481
31,90,Atmospheric CO2,transit,0.0,128670.92605175059,128670.92605175059,0.0,235.57571996198155,235.57571996198155
32,91,Total Energy,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,45657.11757634707,35522718.85317158,35568375.970747925
33,91,Total Energy,light,440918.910192822,39696766.771174334,40137685.68136716,3408692.3276307243,215339948.59437898,218748640.9220097
34,91,Total Energy,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,30231.966012267774,26077722.36160947,26107954.32762174
35,91,Total Energy,transit,0.0,128670.92605175059,128670.92605175059,0.0,3290902.1397517943,3290902.1397517943
36,98,CO2 Equivalent,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,3.4964479238921236,2716.7839931550493,2720.2804410789413
37,98,CO2 Equivalent,light,440918.910192822,39696766.771174334,40137685.68136716,247.8348708175682,15603.85543317032,15851.690303987889
38,98,CO2 Equivalent,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,2.2893378688404757,1969.5814705884418,1971.8708084572822
39,98,CO2 Equivalent,transit,0.0,128670.92605175059,128670.92605175059,0.0,249.40994930826406,249.40994930826406
40,100,PM10 Exhaust,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0003592376027606868,0.20762237955759733,0.207981617160358
41,100,PM10 Exhaust,light,440918.910192822,39696766.771174334,40137685.68136716,0.004171661697391644,0.22138856195678128,0.22556022365417291
42,100,PM10 Exhaust,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,9.890220143789427e-05,0.07025707607897728,0.07035597828041518
43,100,PM10 Exhaust,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.003450968065955883,0.003450968065955883
44,106,PM10 Brakewear,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0008971674845457444,0.16254096217067715,0.1634381296552229
45,106,PM10 Brakewear,light,440918.910192822,39696766.771174334,40137685.68136716,0.03847197157988298,1.43700705151036,1.4754790230902428
46,106,PM10 Brakewear,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,0.0004495385012960604,0.1499560834635629,0.15040562196485896
47,106,PM10 Brakewear,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.022351952538580515,0.022351952538580515
48,107,PM10 Tirewear,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,6.968207330984733e-05,0.047490621286656404,0.04756030335996625
49,107,PM10 Tirewear,light,440918.910192822,39696766.771174334,40137685.68136716,0.006835409018668766,0.4408831006429519,0.44771850966162063
50,107,PM10 Tirewear,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,4.034185810203694e-05,0.03345780306577488,0.03349814492387692
51,107,PM10 Tirewear,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.002909604402971051,0.002909604402971051
52,110,PM25 Exhaust,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.0003304915085418438,0.19100982460230706,0.1913403161108489
53,110,PM25 Exhaust,light,440918.910192822,39696766.771174334,40137685.68136716,0.0037671978140934328,0.19972011158265363,0.20348730939674706
54,110,PM25 Exhaust,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,9.066002154375033e-05,0.06429641632570149,0.06438707634724523
55,110,PM25 Exhaust,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.003142624088278953,0.003142624088278953
56,112,Elemental Carbon,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,0.00024892942217661257,0.14647415950445353,0.14672308892663014
57,112,Elemental Carbon,light,440918.910192822,39696766.771174334,40137685.68136716,0.0018258913346395512,0.09877054375738029,0.10059643509201983
58,112,Elemental Carbon,medium,1602.5453407148143,1954736.3297310723,1956338.875071787,5.834696333453195e-05,0.0407316925717619,0.04079003953509643
59,112,Elemental Carbon,transit,0.0,128670.92605175059,128670.92605175059,0.0,0.0015000703114227587,0.0015000703114227587
60,115,Sulfate Particulate,heavy,1275.4571426111136,1417139.81324263,1418415.2703852411,1.6970121610108494e-05,0.008903770443260609,0.008920740564870718
