,pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,daily_vmt_total,intrazonal_tons,interzonal_tons,running_daily_tons
0,1,Total Gaseous HCs,heavy,1275.4571426111136,539764.5898949477,541040.0470375589,0.0009101022427778364,0.1492109766673797,0.15012107891015755
1,1,Total Gaseous HCs,light,440918.910192822,17258337.26253259,17699256.172725413,0.04501254440243495,1.0295459995748606,1.0745585439772956
2,1,Total Gaseous HCs,medium,1602.5453407148143,549558.5496168982,551161.094957613,0.0014223827315038818,0.19981975244226516,0.20124213517376904
3,1,Total Gaseous HCs,transit,0.0,16528.478223383456,16528.478223383456,0.0,0.03978202867755455,0.03978202867755455
4,2,CO,heavy,1275.4571426111136,539764.5898949477,541040.0470375589,0.007733959077844402,1.4092765258818347,1.4170104849596792
5,2,CO,light,440918.910192822,17258337.26253259,17699256.172725413,1.9979982012490327,49.12386162219851,51.121859823447544
6,2,CO,medium,1602.5453407148143,549558.5496168982,551161.094957613,0.0070899016662659825,1.5786872586593885,1.5857771603256545
7,2,CO,transit,0.0,16528.478223383456,16528.478223383456,0.0,0.1365057256023046,0.1365057256023046
8,3,NOx,heavy,1275.4571426111136,539764.5898949477,541040.0470375589,0.016013297708112256,3.221123246605383,3.2371365443134956
9,3,NOx,light,440918.910192822,17258337.26253259,17699256.172725413,0.14106488848294485,4.177135532159817,4.318200420642762
10,3,NOx,medium,1602.5453407148143,549558.5496168982,551161.094957613,0.004303599467372637,0.7300138172267673,0.73431741669414
11,3,NOx,transit,0.0,16528.478223383456,16528.478223383456,0.0,0.04972776373096052,0.04972776373096052
12,5,Methane,heavy,1275.4571426111136,539764.5898949477,541040.0470375589,0.0004210952721017038,0.05644554737313386,0.05686664264523557
13,5,Methane,light,440918.910192822,17258337.26253259,17699256.172725413,0.008467244722247443,0.1977505446955964,0.20621778941784383
14,5,Methane,medium,1602.5453407148143,549558.5496168982,551161.094957613,0.000986774615523839,0.13689243152726635,0.1378792061427902
15,5,Methane,transit,0.0,16528.478223383456,16528.478223383456,0.0,0.03646649667266569,0.03646649667266569
16,6,N20,heavy,1275.4571426111136,539764.5898949477,541040.0470375589,0.00035295721525821337,0.1030268090697687,0.10337976628502692
17,6,N20,light,440918.910192822,17258337.26253259,17699256.172725413,0.003541160431126454,0.07596483623187834,0.0795059966630048
