,pollutantID,veh_type,start_tons,pollutant_name
0,1,heavy,0.004294896252997393,Total Gaseous HCs
1,1,light,2.5997051752271694,Total Gaseous HCs
2,1,medium,0.36368286819374623,Total Gaseous HCs
3,1,transit,0.0005763475317036016,Total Gaseous HCs
4,2,heavy,0.009537488006955953,CO
5,2,light,25.32027123235655,CO
6,2,medium,1.4680717180658327,CO
7,2,transit,0.003371489844849557,CO
8,3,heavy,0.006347105324314443,NOx
9,3,light,1.5910376997057236,NOx
10,3,medium,0.2554493410377334,NOx
11,3,transit,0.0005809785723372877,NOx
12,5,heavy,0.0014843612013758826,Methane
13,5,light,0.3165979745101434,Methane
14,5,medium,0.11274968429984342,Methane
15,5,transit,0.00017568985321610612,Methane
16,6,heavy,2.6617564731788788e-05,N20
17,6,light,0.11147898727334472,N20
18,6,medium,0.021511615246998142,N20
19,6,transit,5.161587159826453e-05,N20
20,79,heavy,0.002810240390638353,Non-methane HCs
21,79,light,2.2794366677889704,Non-methane HCs
22,79,medium,0.25069352341054385,Non-methane HCs
23,79,transit,0.00039961618959439324,Non-methane HCs
24,87,heavy,0.0009757558093439011,VOCs
25,87,light,1.4628058413189384,VOCs
26,87,medium,0.12504043131000583,VOCs
27,87,transit,0.0003679360950678142,VOCs
28,90,heavy,0.5429196926795861,Atmospheric CO2
29,90,light,426.5459329278419,Atmospheric CO2
30,90,medium,17.036597788343858,Atmospheric CO2
31,90,transit,0.047491195766239266,Atmospheric CO2
32,91,heavy,7330.72812388104,Total Energy
33,91,light,5864022.630534284,Total Energy
34,91,medium,231976.15359966966,Total Energy
35,91,transit,657.4337724210303,Total Energy
36,98,heavy,0.5879607416308078,CO2 Equivalent
37,98,light,467.6817417036798,CO2 Equivalent
38,98,medium,26.2657890618085,CO2 Equivalent
39,98,transit,0.06726503602356303,CO2 Equivalent
40,100,heavy,2.8418364576773892e-05,PM10 Exhaust
41,100,light,0.083563713104289,PM10 Exhaust
42,100,medium,0.005766154652060655,PM10 Exhaust
43,100,transit,1.585615916164747e-05,PM10 Exhaust
44,110,heavy,2.6142107575082578e-05,PM25 Exhaust
45,110,light,0.0739626517729997,PM25 Exhaust
46,110,medium,0.005110850782819886,PM25 Exhaust
47,110,transit,1.4059415217640524e-05,PM25 Exhaust
48,112,heavy,7.780437815727762e-06,Elemental Carbon
49,112,light,0.04305163336636163,Elemental Carbon
50,112,medium,0.0022259109447073447,Elemental Carbon
51,112,transit,6.013069772449691e-06,Elemental Carbon
52,115,heavy,7.366183381086973e-06,Sulfate Particulate
53,115,light,0.0008252415078148702,Sulfate Particulate
54,115,medium,0.00012506016000863628,Sulfate Particulate
55,115,transit,5.114763651221803e-07,Sulfate Particulate
56,118,heavy,1.8361678682247008e-05,Composite NonECPM
57,118,light,0.030911028011794565,Composite NonECPM
58,118,medium,0.0028849427959734227,Composite NonECPM
59,118,transit,8.046336337005504e-06,Composite NonECPM
60,119,heavy,0.0,H20 Aerosol
61,119,light,0.0,H20 Aerosol
62,119,medium,0.0,H20 Aerosol
63,119,transit,0.0,H20 Aerosol
0,PM10,heavy,2.8418364576773892e-05,PM10 Total
1,PM10,light,0.083563713104289,PM10 Total
2,PM10,medium,0.005766154652060655,PM10 Total
3,PM10,transit,1.585615916164747e-05,PM10 Total
0,PM25,heavy,2.6142107575082578e-05,PM25 Total
1,PM25,light,0.0739626517729997,PM25 Total
2,PM25,medium,0.005110850782819886,PM25 Total
3,PM25,transit,1.4059415217640524e-05,PM25 Total
0,PM10,heavy,2.8418364576773892e-05,PM10 Total
1,PM10,light,0.083563713104289,PM10 Total
2,PM10,medium,0.005766154652060655,PM10 Total
3,PM10,transit,1.585615916164747e-05,PM10 Total
0,PM25,heavy,2.6142107575082578e-05,PM25 Total
1,PM25,light,0.0739626517729997,PM25 Total
2,PM25,medium,0.005110850782819886,PM25 Total
3,PM25,transit,1.4059415217640524e-05,PM25 Total
