,pollutant_name,veh_type,total_daily_tons,vmt,city
0,Atmospheric CO2,heavy,22.86702148,11139.32599,Algona
1,Atmospheric CO2,light,60.81794455,146112.4691,Algona
2,Atmospheric CO2,medium,7.404395434,10972.97239,Algona
3,CO,heavy,0.039038215,11139.32599,Algona
4,CO,light,0.525544017,146112.4691,Algona
5,CO,medium,0.067799908,10972.97239,Algona
6,CO2 Equivalent,heavy,22.90300284,11139.32599,Algona
7,CO2 Equivalent,light,61.14953006,146112.4691,Algona
8,CO2 Equivalent,medium,7.481011697,10972.97239,Algona
9,Composite NonECPM,heavy,0.000887152,11139.32599,Algona
10,Composite NonECPM,light,0.000490884,146112.4691,Algona
11,Composite NonECPM,medium,0.000136497,10972.97239,Algona
12,Elemental Carbon,heavy,0.002856197,11139.32599,Algona
13,Elemental Carbon,light,0.000354518,146112.4691,Algona
14,Elemental Carbon,medium,0.00021828,10972.97239,Algona
15,H20 Aerosol,heavy,0,11139.32599,Algona
16,H20 Aerosol,light,0,146112.4691,Algona
17,H20 Aerosol,medium,0,10972.97239,Algona
18,Methane,heavy,0.001030065,11139.32599,Algona
19,Methane,light,0.003308091,146112.4691,Algona
20,Methane,medium,0.000944997,10972.97239,Algona
21,N20,heavy,3.43E-05,11139.32599,Algona
22,N20,light,0.000835328,146112.4691,Algona
23,N20,medium,0.000177819,10972.97239,Algona
24,NOx,heavy,0.125600858,11139.32599,Algona
25,NOx,light,0.061396139,146112.4691,Algona
26,NOx,medium,0.016460679,10972.97239,Algona
27,Non-methane HCs,heavy,0.004278528,11139.32599,Algona
28,Non-methane HCs,light,0.017791349,146112.4691,Algona
29,Non-methane HCs,medium,0.003391972,10972.97239,Algona
30,PM10 Brakewear,heavy,0,11139.32599,Algona
31,PM10 Brakewear,light,0,146112.4691,Algona
32,PM10 Brakewear,medium,0,10972.97239,Algona
33,PM10 Exhaust,heavy,0.004068885,11139.32599,Algona
34,PM10 Exhaust,light,0.000946301,146112.4691,Algona
35,PM10 Exhaust,medium,0.000389427,10972.97239,Algona
36,PM10 Tirewear,heavy,0,11139.32599,Algona
37,PM10 Tirewear,light,0,146112.4691,Algona
38,PM10 Tirewear,medium,0,10972.97239,Algona
39,PM10 Total,heavy,0.007062109,33417.97798,Algona
40,PM10 Total,light,0.007971202,438337.4073,Algona
41,PM10 Total,medium,0.001163736,32918.91716,Algona
42,PM25 Brakewear,heavy,0,11139.32599,Algona
43,PM25 Brakewear,light,0,146112.4691,Algona
44,PM25 Brakewear,medium,0,10972.97239,Algona
45,PM25 Exhaust,heavy,0.003743348,11139.32599,Algona
46,PM25 Exhaust,light,0.000845402,146112.4691,Algona
47,PM25 Exhaust,medium,0.000354777,10972.97239,Algona
48,PM25 Tirewear,heavy,0,11139.32599,Algona
49,PM25 Tirewear,light,0,146112.4691,Algona
50,PM25 Tirewear,medium,0,10972.97239,Algona
51,PM25 Total,heavy,0.004128402,33417.97798,Algona
52,PM25 Total,light,0.001764357,438337.4073,Algona
53,PM25 Total,medium,0.000455326,32918.91716,Algona
54,Sulfate Particulate,heavy,0.000148505,11139.32599,Algona
55,Sulfate Particulate,light,2.56E-05,146112.4691,Algona
56,Sulfate Particulate,medium,2.11E-05,10972.97239,Algona
57,Total Energy,heavy,310700.4782,11139.32599,Algona
58,Total Energy,light,845780.5629,146112.4691,Algona
59,Total Energy,medium,102187.5086,10972.97239,Algona
60,Total Gaseous HCs,heavy,0.005308595,11139.32599,Algona
61,Total Gaseous HCs,light,0.02111312,146112.4691,Algona
62,Total Gaseous HCs,medium,0.004339345,10972.97239,Algona
63,VOCs,heavy,0.004858354,11139.32599,Algona
64,VOCs,light,0.015792196,146112.4691,Algona
65,VOCs,medium,0.003118107,10972.97239,Algona
0,Atmospheric CO2,heavy,130.8900265,65835.77341,Auburn
1,Atmospheric CO2,light,780.4449966,1822554.446,Auburn
2,Atmospheric CO2,medium,61.95026206,85870.41575,Auburn
3,CO,heavy,0.214987607,65835.77341,Auburn
4,CO,light,8.330179952,1822554.446,Auburn
5,CO,medium,0.970717065,85870.41575,Auburn
6,CO2 Equivalent,heavy,131.0800118,65835.77341,Auburn
7,CO2 Equivalent,light,786.7379093,1822554.446,Auburn
8,CO2 Equivalent,medium,63.41669227,85870.41575,Auburn
9,Composite NonECPM,heavy,0.004745859,65835.77341,Auburn
10,Composite NonECPM,light,0.008028983,1822554.446,Auburn
11,Composite NonECPM,medium,0.001478407,85870.41575,Auburn
12,Elemental Carbon,heavy,0.015296777,65835.77341,Auburn
13,Elemental Carbon,light,0.006177275,1822554.446,Auburn
14,Elemental Carbon,medium,0.002111015,85870.41575,Auburn
15,H20 Aerosol,heavy,0,65835.77341,Auburn
16,H20 Aerosol,light,0,1822554.446,Auburn
17,H20 Aerosol,medium,0,85870.41575,Auburn
18,Methane,heavy,0.005396275,65835.77341,Auburn
19,Methane,light,0.058952035,1822554.446,Auburn
20,Methane,medium,0.015118676,85870.41575,Auburn
21,N20,heavy,0.000184849,65835.77341,Auburn
22,N20,light,0.016172404,1822554.446,Auburn
23,N20,medium,0.003652556,85870.41575,Auburn
24,NOx,heavy,0.705718864,65835.77341,Auburn
25,NOx,light,0.868635048,1822554.446,Auburn
26,NOx,medium,0.161026243,85870.41575,Auburn
27,Non-methane HCs,heavy,0.023424006,65835.77341,Auburn
28,Non-methane HCs,light,0.349093129,1822554.446,Auburn
