pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,start_tons,intrazonal_tons,interzonal_tons,total_daily_tons
1,Total Gaseous HCs,heavy,2.560720593246961,88389.19640161548,0.0009041561339091154,2.2238918275820316e-06,0.04079166039117812,0.041698040416914814
1,Total Gaseous HCs,light,4319.846306099999,4061019.296441838,0.4914244320871193,0.0006023987160261718,0.3528430609579681,0.8448698917611135
1,Total Gaseous HCs,medium,12.55534750515067,203917.45390506365,0.10852516444786477,5.601672825242006e-06,0.04370118643292003,0.15223195255361002
1,Total Gaseous HCs,transit,0.0,11118.076021134157,0.0015147099501608258,0.0,0.020427201220249037,0.02194191117040986
2,CO,heavy,2.560720593246961,88389.19640161548,0.0032400138774461825,1.5401882586331605e-05,0.3010265363880078,0.30428195214804027
2,CO,light,4319.846306099999,4061019.296441838,5.127101261414954,0.02068205750955395,12.61711071776934,17.764894036693846
2,CO,medium,12.55534750515067,203917.45390506365,1.2047373747282877,8.195630310688167e-05,0.854159087027679,2.0589784180590733
2,CO,transit,0.0,11118.076021134157,0.013337409400737,0.0,0.08951108097647911,0.1028484903772161
3,NOx,heavy,2.560720593246961,88389.19640161548,0.0006960478398808947,4.3338973470851953e-05,0.97882360921726,0.9795629960306117
3,NOx,light,4319.846306099999,4061019.296441838,0.27861428118254594,0.0020423113757659737,1.6106575435123422,1.8913141360706542
3,NOx,medium,12.55534750515067,203917.45390506365,0.08443600683817505,2.851240179280976e-05,0.28070602696203967,0.3651705462020075
3,NOx,transit,0.0,11118.076021134157,0.0010994998062235416,0.0,0.10785527892810075,0.10895477873432428
5,Methane,heavy,2.560720593246961,88389.19640161548,0.00029002973204191664,4.7442758438198096e-07,0.0076510017688654185,0.007941505928491717
5,Methane,light,4319.846306099999,4061019.296441838,0.05714362009231528,0.00011052921825213403,0.06619389945878018,0.12344804876934759
5,Methane,medium,12.55534750515067,203917.45390506365,0.021635655334702394,1.398509354274293e-06,0.010212392361140295,0.03184944620519697
5,Methane,transit,0.0,11118.076021134157,0.000361925189927329,0.0,0.013397789983465322,0.01375971517339265
6,N20,heavy,2.560720593246961,88389.19640161548,1.9928025309797613e-05,1.6770362355388443e-08,0.0002585621100458076,0.00027850690571796057
6,N20,light,4319.846306099999,4061019.296441838,0.020531328928084923,2.7003196293030128e-05,0.013121963797383358,0.03368029592176131
6,N20,medium,12.55534750515067,203917.45390506365,0.006350941962295543,1.4570798654845854e-07,0.0011199413870984702,0.007471029057380562
6,N20,transit,0.0,11118.076021134157,9.942392773368507e-05,0.0,9.325119791362386e-05,0.00019267512564730892
79,Non-methane HCs,heavy,2.560720593246961,88389.19640161548,0.000613982900698942,1.7494640528247344e-06,0.03314064747363973,0.0337563798383915
79,Non-methane HCs,light,4319.846306099999,4061019.296441838,0.4335390452393727,0.000491872127582276,0.28664930087326745,0.7206802182402224
79,Non-methane HCs,medium,12.55534750515067,203917.45390506365,0.0867606067437124,4.2031676947198736e-06,0.03348879299702698,0.12025360290843409
