veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2021,vmt_2022*,city
light,147183.2315733029,147073.12339949494,121195.27823439744,129769.737491433,138950.83219352583,Algona
medium,10972.972387430773,10964.763477095607,9035.488807641143,9674.74168759807,10359.221146131207,Algona
heavy,11139.325992334807,11130.99263241767,9172.469571116215,9821.413719516317,10516.270095204569,Algona
transit,113.98142433364002,113.89615452166993,93.85587127014881,100.49609154905288,107.6061015678599,Algona
light,1857800.8032546765,1856410.9774466772,1529771.3119065529,1638001.2856944406,1753888.4348620444,Auburn
medium,85870.41575356177,85806.17586317693,70708.3872130717,75710.94336972816,81067.42597113707,Auburn
heavy,65835.77340831663,65786.52148808267,54211.23582290579,58046.63303976803,62153.38123374448,Auburn
transit,2035.5669088509976,2034.0440957383785,1676.149485548307,1794.7355862769077,1921.7115492506496,Auburn
light,237399.2377093481,236045.5327072345,203221.03664919664,219320.81370131567,236696.0631425229,Bainbridge Island
medium,8308.610846918535,8261.233238748371,7112.425994782614,7675.893609670153,8284.000810721393,Bainbridge Island
heavy,810.9653624249543,806.3410515878672,694.2112503341923,749.2087375123853,808.5632897690531,Bainbridge Island
transit,1030.8996155058817,1025.02118902207,882.4817238918793,952.3945598929796,1027.846099422308,Bainbridge Island
light,513.0503551842517,512.6665408252584,422.4617157821007,452.3505103160355,484.35391075464486,Beaux Arts
medium,7.288847027052671,7.2833942208686,6.001864709782886,6.426491355061438,6.8811599617301935,Beaux Arts
heavy,0.0,0.0,0.0,0.0,0.0,Beaux Arts
transit,5.05512129657092,5.051339546650135,4.162545050122873,4.457041448479452,4.772373207799257,Beaux Arts
light,4065339.142747938,4062297.851534713,3347527.454424315,3584362.075276918,3837952.537089171,Bellevue
medium,203930.0092525688,203777.448660826,167922.35057972022,179802.70907526102,192523.59247707724,Bellevue
heavy,88391.75712220873,88325.63100952342,72784.53858867781,77933.98062769632,83447.74115835305,Bellevue
transit,11118.076021134157,11109.758558377976,9154.971679918921,9802.677867918741,10496.208698598066,Bellevue
light,48267.60611277086,48231.496986028986,39745.0571645598,42556.98497470896,45567.854202321745,Black Diamond
medium,1444.7873463474018,1443.7064970241015,1189.6831083159284,1273.8521410509277,1363.9760587649816,Black Diamond
heavy,497.3734014349213,497.0013150474487,409.5528215336984,438.52832316217666,469.5538160261636,Black Diamond
transit,45.96209282401226,45.92770845800027,37.84662538318504,40.52424081583236,43.39129518345897,Black Diamond
light,1613767.8228621092,1612560.5587870784,1328826.9200699283,1422840.255009885,1523504.9506447825,Bothell
medium,78390.21148290872,78331.56755357969,64548.95296134841,69115.7345663293,74005.6119501074,Bothell
heavy,35996.229197681685,35969.300321215516,29640.421441823306,31737.455168852983,33982.85218622694,Bothell
transit,2845.2024459148383,2843.0739422661222,2342.828720227554,2508.581789987845,2686.061743535138,Bothell
light,464244.91534946417,463897.61247207556,382273.7895020386,409319.32362572296,438278.3054827406,Burien
medium,15470.58741846182,15459.013830151696,12738.965754371588,13640.236368449267,14605.27108515994,Burien
heavy,2956.1741770867065,2953.9626551856186,2434.2063159751315,2606.424270202522,2790.826493102467,Burien
transit,1727.7784549954551,1726.4858992580203,1422.7068419562656,1523.362098735052,1631.1386263325494,Burien
light,12060.486999163004,12051.46451620406,9930.98236722655,10633.590628296202,11385.907805389354,Carnation
medium,375.0673070270338,374.78671815973985,308.8421564458483,330.69246716652066,354.08866813768304,Carnation
heavy,826.1722116197316,825.5541499526521,680.296049940398,728.4263966660728,779.9619230574779,Carnation
transit,18.47740858873848,18.463585589374613,15.21487638928155,16.29131550144244,17.443911733289564,Carnation
light,28331.448002817,28310.25316990309,23329.000775300185,24979.507045588107,26746.785181696534,Clyde Hill
medium,2055.312158251457,2053.774573664332,1692.4083417326433,1812.1447422249773,1940.352387658224,Clyde Hill
heavy,32.33862729521898,32.31443468063326,26.628637589130435,28.51259025960305,30.52983092322593,Clyde Hill
transit,110.86830021446232,110.78535933906969,91.29242746089908,97.7512863466835,104.66710381344491,Clyde Hill
light,275637.0842999475,275430.8794513272,226968.19988500368,243026.00024577975,260219.87584774464,Covington
medium,7343.949029451204,7338.455001310037,6047.237422697107,6475.074147476543,6933.179943945305,Covington
heavy,7600.625662779967,7594.939614154857,6258.592993980747,6701.382939389901,7175.499883685868,Covington
transit,302.3116114269272,302.0854512923837,248.932840166157,266.54461949319233,285.40241670544185,Covington
light,249597.88558895988,249411.1607353556,205526.70890097684,220067.5426477809,235637.12758309385,Des Moines
medium,6290.99321918289,6286.286910132613,5180.2006615804885,5546.695298690733,5939.119108782008,Des Moines
heavy,1529.426734403332,1528.2825661247984,1259.3778288039668,1348.4777016670726,1443.881312108091,Des Moines
transit,1116.6049649616189,1115.7696297658729,919.4474666703784,984.4975656247464,1054.1499018219847,Des Moines
light,36932.00912010068,36904.380184142385,30410.97191045634,32562.521404890795,34866.29113222775,Duvall
medium,972.9313657141932,972.2035131268153,801.1421295093517,857.8222299938521,918.512397696888,Duvall
heavy,1199.0232478692874,1198.1262553330798,987.3132596810543,1057.1648037543569,1131.9582830863844,Duvall
transit,51.61007879181518,51.5714691522176,42.49735375431022,45.50400412556816,48.72337236409022,Duvall
