pollutant_name,veh_type,total_daily_tons,vmt
Atmospheric CO2,heavy,2863.4545692461897,1665626.145496915
Atmospheric CO2,light,14492.608000131717,44973376.779018216
Atmospheric CO2,medium,1220.98935148403,2235370.2923657126
CO,heavy,4.519013195927662,1665626.145496915
CO,light,70.45571205347565,44973376.779018216
CO,medium,4.326485593696131,2235370.2923657126
CO2 Equivalent,heavy,2873.0786852634287,1665626.145496915
CO2 Equivalent,light,14526.666904507829,44973376.779018216
CO2 Equivalent,medium,1227.737427017402,2235370.2923657126
Composite NonECPM,heavy,0.0294131433114421,1665626.145496915
Composite NonECPM,light,0.0431545695125564,44973376.779018216
Composite NonECPM,medium,0.0075148048533914,2235370.2923657126
Elemental Carbon,heavy,0.0659760313257,1665626.145496915
Elemental Carbon,light,0.039802433732331,44973376.779018216
Elemental Carbon,medium,0.0044949042281079,2235370.2923657126
H20 Aerosol,heavy,0.0,1665626.145496915
H20 Aerosol,light,0.0,44973376.779018216
H20 Aerosol,medium,0.0,2235370.2923657126
Methane,heavy,0.3253469843193615,1665626.145496915
Methane,light,0.3512785325852417,44973376.779018216
Methane,medium,0.1743487932649046,2235370.2923657126
N20,heavy,0.0049956672796046,1665626.145496915
N20,light,0.0848344681565984,44973376.779018216
N20,medium,0.0080185810124355,2235370.2923657126
NOx,heavy,7.644614414835956,1665626.145496915
NOx,light,4.081708351713237,44973376.779018216
NOx,medium,0.997282505687976,2235370.2923657126
Non-methane HCs,heavy,0.1639027938409014,1665626.145496915
Non-methane HCs,light,0.9362810935412754,44973376.779018216
Non-methane HCs,medium,0.1124742965111164,2235370.2923657126
PM10 Brakewear,heavy,0.0,1665626.145496915
PM10 Brakewear,light,0.0,44973376.779018216
PM10 Brakewear,medium,0.0,2235370.2923657126
PM10 Exhaust,heavy,0.10368972511354,1665626.145496915
PM10 Exhaust,light,0.0933953121561556,44973376.779018216
PM10 Exhaust,medium,0.0133067175062094,2235370.2923657126
PM10 Tirewear,heavy,0.0,1665626.145496915
PM10 Tirewear,light,0.0,44973376.779018216
PM10 Tirewear,medium,0.0,2235370.2923657126
PM10 Total,heavy,0.4622269393837929,4996878.436490745
PM10 Total,light,2.444060841498174,134920130.3370546
PM10 Total,medium,0.18467269966692,6706110.877097137
PM25 Brakewear,heavy,0.0,1665626.145496915
PM25 Brakewear,light,0.0,44973376.779018216
PM25 Brakewear,medium,0.0,2235370.2923657126
PM25 Exhaust,heavy,0.0953891712756269,1665626.145496915
PM25 Exhaust,light,0.0829570173744583,44973376.779018216
PM25 Exhaust,medium,0.0120097036735185,2235370.2923657126
PM25 Tirewear,heavy,0.0,1665626.145496915
PM25 Tirewear,light,0.0,44973376.779018216
PM25 Tirewear,medium,0.0,2235370.2923657126
PM25 Total,heavy,0.1416984062108549,4996878.436490745
PM25 Total,light,0.3896063745830447,134920130.3370546
PM25 Total,medium,0.034200080371196,6706110.877097137
Sulfate Particulate,heavy,0.0156370081738748,1665626.145496915
Sulfate Particulate,light,0.0044625061580229,44973376.779018216
Sulfate Particulate,medium,0.0025568807423987,2235370.2923657126
Total Energy,heavy,38946591.10194144,1665626.145496915
Total Energy,light,201473928.06116053,44973376.779018216
Total Energy,medium,16855851.13418948,2235370.2923657126
Total Gaseous HCs,heavy,0.4892496495971019,1665626.145496915
Total Gaseous HCs,light,1.287794802893111,44973376.779018216
Total Gaseous HCs,medium,0.2868625791667776,2235370.2923657126
VOCs,heavy,0.1762490283541821,1665626.145496915
VOCs,light,0.9785143185543792,44973376.779018216
VOCs,medium,0.1070629121842754,2235370.2923657126
