pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,start_tons,intrazonal_tons,interzonal_tons,total_daily_tons
1,Total Gaseous HCs,heavy,0.0,47.12881330596671,1.864038853754323e-05,0.0,1.0919223688647512e-05,2.9559612226190743e-05
1,Total Gaseous HCs,light,32.598982119999995,33314.70165592812,0.00458003900515014,7.572892917991455e-07,0.00048697507762936616,0.005067771372071306
1,Total Gaseous HCs,medium,0.21437708496356644,2862.9916799078687,0.0013439646381309745,4.634166635079564e-08,0.00023531889732340206,0.0015793298771207274
2,CO,heavy,0.0,47.12881330596671,3.448736184420968e-05,0.0,0.00010347369861935917,0.00013796106046356886
2,CO,light,32.598982119999995,33314.70165592812,0.04040831203522121,5.003413940749131e-05,0.03244346461982267,0.07290181079445138
2,CO,medium,0.21437708496356644,2862.9916799078687,0.005814403166560199,4.122152721705256e-07,0.0033412448732691,0.009156060255101468
3,NOx,heavy,0.0,47.12881330596671,2.9749521882183715e-05,0.0,0.00014040542788667425,0.00017015494976885796
3,NOx,light,32.598982119999995,33314.70165592812,0.0025159179003794887,5.315769141248811e-07,0.0004009537644547915,0.002917403241748405
3,NOx,medium,0.21437708496356644,2862.9916799078687,0.0008562350720126168,1.619873215964959e-07,0.0007411378010757814,0.0015975348604099946
5,Methane,heavy,0.0,47.12881330596671,7.217812713364512e-06,0.0,8.580569055658983e-06,1.5798381769023495e-05
5,Methane,light,32.598982119999995,33314.70165592812,0.0004914836194579834,2.3108476369937477e-07,0.0001498270111244843,0.0006415417153461671
5,Methane,medium,0.21437708496356644,2862.9916799078687,0.00035049895388630564,3.6504770069800406e-08,0.00018198165851056675,0.0005325171171669422
6,N20,heavy,0.0,47.12881330596671,7.669800643730833e-07,0.0,1.1938688541793285e-07,8.863669497910162e-07
6,N20,light,32.598982119999995,33314.70165592812,0.00022707325488301465,1.0062561912596829e-07,5.2360740568969294e-05,0.0002795346210711099
6,N20,medium,0.21437708496356644,2862.9916799078687,6.721108663355292e-05,1.0893629477943237e-09,6.009815503770324e-06,7.322199150027103e-05
79,Non-methane HCs,heavy,0.0,47.12881330596671,1.1415627505729556e-05,0.0,2.3386432100152222e-06,1.3754270715744778e-05
79,Non-methane HCs,light,32.598982119999995,33314.70165592812,0.004082588831051582,5.262032781378641e-07,0.00033714808510735823,0.004420263119437079
79,Non-methane HCs,medium,0.21437708496356644,2862.9916799078687,0.0009923622224912913,9.836967174138728e-09,5.3337116774398576e-05,0.0010457091762328642
87,VOCs,heavy,0.0,47.12881330596671,3.831215912154706e-06,0.0,2.420066147261001e-06,6.251282059415707e-06
87,VOCs,light,32.598982119999995,33314.70165592812,0.001849069821411998,5.834612627461088e-07,0.0003756450475038486,0.0022252983301785925
87,VOCs,medium,0.21437708496356644,2862.9916799078687,0.00045126654819358615,1.0457028154951466e-08,5.702314257752492e-05,0.000508300147799266
90,Atmospheric CO2,heavy,0.0,47.12881330596671,0.0019853808992299654,0.0,0.0645184881435146,0.06650386904274457
90,Atmospheric CO2,light,32.598982119999995,33314.70165592812,1.323729113360173,0.012782713225362223,9.300698580136686,10.637210406722222
90,Atmospheric CO2,medium,0.21437708496356644,2862.9916799078687,0.20286705428784702,0.00015554759138599027,1.3220987324975586,1.5251213343767915
91,Total Energy,heavy,0.0,47.12881330596671,27.061451979965025,0.0,877.7814518983736,904.8429038783386
91,Total Energy,light,32.598982119999995,33314.70165592812,18405.195305836027,177.66075851248036,129264.94604174225,147847.80210609076
91,Total Energy,medium,0.21437708496356644,2862.9916799078687,2811.910066832449,2.1467554509768365,18253.140616766057,21067.197439049483
98,CO2 Equivalent,heavy,0.0,47.12881330596671,0.0023943865096292846,0.0,0.06476844375790487,0.06716283026753415
98,CO2 Equivalent,light,32.598982119999995,33314.70165592812,1.4036844652877256,0.012818467810109528,9.320049111413761,10.736552044511596
98,CO2 Equivalent,medium,0.21437708496356644,2862.9916799078687,0.2316584629282145,0.0001567846767399915,1.3284379265359536,1.5602531741409082
100,PM10 Exhaust,heavy,0.0,47.12881330596671,7.432649646929089e-08,0.0,1.1701181871352653e-06,1.244444683604556e-06
100,PM10 Exhaust,light,32.598982119999995,33314.70165592812,0.00026837763143708354,6.030199372477293e-08,4.068183577874392e-05,0.00030911976920955223
100,PM10 Exhaust,medium,0.21437708496356644,2862.9916799078687,4.4390473048074006e-05,1.1337491449370277e-09,7.880290895761969e-06,5.227189769298092e-05
106,PM10 Brakewear,heavy,0.0,47.12881330596671,,0.0,6.135719063730837e-06,
106,PM10 Brakewear,light,32.598982119999995,33314.70165592812,,2.7904818386623046e-06,0.001311539172683059,
106,PM10 Brakewear,medium,0.21437708496356644,2862.9916799078687,,3.761779242268405e-08,0.0001470158388026094,
107,PM10 Tirewear,heavy,0.0,47.12881330596671,,0.0,1.6764998738112668e-06,
107,PM10 Tirewear,light,32.598982119999995,33314.70165592812,,4.990297937299115e-07,0.00038052497920962287,
107,PM10 Tirewear,medium,0.21437708496356644,2862.9916799078687,,4.21674780617645e-09,3.794175039599271e-05,
110,PM25 Exhaust,heavy,0.0,47.12881330596671,6.835667847824117e-08,0.0,1.076363166367065e-06,1.1447198448453063e-06
110,PM25 Exhaust,light,32.598982119999995,33314.70165592812,0.0002375450816437916,5.345579926642446e-08,3.606380869053173e-05,0.00027366234613358976
110,PM25 Exhaust,medium,0.21437708496356644,2862.9916799078687,3.930610253725007e-05,1.024253569671857e-09,7.097319407815877e-06,4.640444619863562e-05
112,Elemental Carbon,heavy,0.0,47.12881330596671,9.327077417509966e-09,0.0,6.713638345452723e-07,6.806909119627823e-07
112,Elemental Carbon,light,32.598982119999995,33314.70165592812,0.00016450182676388696,3.2841897690745516e-08,2.2186260033545654e-05,0.00018672092869512335
112,Elemental Carbon,medium,0.21437708496356644,2862.9916799078687,2.389413330128476e-05,2.0982803834128739e-10,1.6712957272319103e-06,2.556563885655501e-05
115,Sulfate Particulate,heavy,0.0,47.12881330596671,4.504182469414765e-08,0.0,3.093753559786251e-07,3.5441718067277276e-07
115,Sulfate Particulate,light,32.598982119999995,33314.70165592812,3.534086919129742e-06,3.0375693765326065e-09,2.0586528928011772e-06,5.595777381307452e-06
115,Sulfate Particulate,medium,0.21437708496356644,2862.9916799078687,9.860677307334482e-07,4.0716059103927676e-10,2.454662347586378e-06,3.4411372389108655e-06
116,PM25 Brakewear,heavy,0.0,47.12881330596671,,0.0,7.669658964929761e-07,
116,PM25 Brakewear,light,32.598982119999995,33314.70165592812,,3.4880987049022785e-07,0.00016394234775953944,
116,PM25 Brakewear,medium,0.21437708496356644,2862.9916799078687,,4.7022240528355065e-09,1.8376985414828544e-05,
117,PM25 Tirewear,heavy,0.0,47.12881330596671,,0.0,2.5147375657954273e-07,
117,PM25 Tirewear,light,32.598982119999995,33314.70165592812,,7.48542893882066e-08,5.7078425541431246e-05,
117,PM25 Tirewear,medium,0.21437708496356644,2862.9916799078687,,6.325062631645093e-10,5.691231616907377e-06,
118,Composite NonECPM,heavy,0.0,47.12881330596671,5.9029573725013774e-08,0.0,4.050006385343618e-07,4.640302122593756e-07
118,Composite NonECPM,light,32.598982119999995,33314.70165592812,7.304314041882815e-05,2.0613829707166884e-08,1.3877519213969448e-05,8.694127346250476e-05
118,Composite NonECPM,medium,0.21437708496356644,2862.9916799078687,1.5411981038947302e-05,8.144251586890142e-10,5.426029783043455e-06,2.0838825247149445e-05
119,H20 Aerosol,heavy,0.0,47.12881330596671,0.0,0.0,0.0,0.0
119,H20 Aerosol,light,32.598982119999995,33314.70165592812,0.0,0.0,0.0,0.0
119,H20 Aerosol,medium,0.21437708496356644,2862.9916799078687,0.0,0.0,0.0,0.0
PM10,PM10 Total,heavy,0.0,141.38643991790013,7.432649646929089e-08,0.0,8.98233712467737e-06,9.056663621146661e-06
PM10,PM10 Total,light,97.79694635999999,99944.10496778435,0.00026837763143708354,3.349813626116989e-06,0.0017327459876714257,0.0020044734327346264
PM10,PM10 Total,medium,0.6431312548906993,8588.975039723606,4.4390473048074006e-05,4.296828937379753e-08,0.00019283788009436407,0.00023727132143181186
PM25,PM25 Total,heavy,0.0,141.38643991790013,6.835667847824117e-08,0.0,2.094802819439584e-06,2.163159497917825e-06
PM25,PM25 Total,light,97.79694635999999,99944.10496778435,0.0002375450816437916,4.77119959144859e-07,0.00025708458199150244,0.0004951067835944389
PM25,PM25 Total,medium,0.6431312548906993,8588.975039723606,3.930610253725007e-05,6.3589838856718735e-09,3.11655364395518e-05,7.047799796068754e-05
