pollutant_name,veh_type,vmt_2018,vmt_2019,vmt_2020,vmt_2030,vmt_2040,vmt_2050
Total Gaseous HCs,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Total Gaseous HCs,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Total Gaseous HCs,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
CO,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
CO,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
CO,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
NOx,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
NOx,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
NOx,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Methane,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Methane,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Methane,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
N20,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
N20,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
N20,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Non-methane HCs,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Non-methane HCs,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Non-methane HCs,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
VOCs,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
VOCs,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
VOCs,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Atmospheric CO2,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Atmospheric CO2,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Atmospheric CO2,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Total Energy,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Total Energy,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Total Energy,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
CO2 Equivalent,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
CO2 Equivalent,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
CO2 Equivalent,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM10 Exhaust,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
PM10 Exhaust,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
PM10 Exhaust,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM10 Brakewear,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
PM10 Brakewear,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
PM10 Brakewear,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM10 Tirewear,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
PM10 Tirewear,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
PM10 Tirewear,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM25 Exhaust,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
PM25 Exhaust,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
PM25 Exhaust,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Elemental Carbon,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Elemental Carbon,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Elemental Carbon,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Sulfate Particulate,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Sulfate Particulate,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
Sulfate Particulate,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM25 Brakewear,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
PM25 Brakewear,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
PM25 Brakewear,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
PM25 Tirewear,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
PM25 Tirewear,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
PM25 Tirewear,medium,2094468.5694745607,2107854.9355136114,2121241.3015526617,2255104.9619431673,2315409.4930276116,2307089.5190600916
Composite NonECPM,heavy,1462327.867155684,1480471.7104847748,1498615.5538138654,1680053.9871047735,1884895.9977193405,2076409.9293727924
Composite NonECPM,light,43814360.50063459,43943515.54238463,44072670.58413467,45364221.00163509,47634928.11947692,50140391.03426264
