,pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,daily_vmt_total,intrazonal_tons,interzonal_tons,running_daily_tons
0,1,Total Gaseous HCs,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.0005475377515491951,0.4238773169509427,0.4244248547024919
1,1,Total Gaseous HCs,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.002376172799778097,0.4405607430715896,0.4429369158713677
2,1,Total Gaseous HCs,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.0011429779088599937,0.20766270382977706,0.20880568173863706
3,1,Total Gaseous HCs,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,0.0001141506634886177,0.2931854169818204,0.293299567645309
4,1,Total Gaseous HCs,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.006434942849696746,1.6873671159563521,1.693802058806049
5,1,Total Gaseous HCs,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.20062253934108742,0.20062253934108742
6,2,CO,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.004051047202035583,3.435429243488441,3.4394802906904767
7,2,CO,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.08964912641972154,17.37080841089302,17.46045753731274
8,2,CO,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.043122693365961105,8.206800854267902,8.249923547633863
9,2,CO,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,0.0015910951654416411,5.718799769147605,5.720390864313046
10,2,CO,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.2427799018982626,66.4392331819101,66.68201308380836
11,2,CO,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.8193468641623473,0.8193468641623473
12,3,NOx,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.00990762177970554,9.943265957227968,9.953173579007673
13,3,NOx,hov2,25038.165319725464,7387369.245624381,7412407.410944107,0.007890101333950902,1.978304262586791,1.986194363920742
14,3,NOx,hov3,12043.766278910009,3504868.635616446,3516912.401895356,0.003795294585194585,0.9384680661225606,0.9422633607077552
15,3,NOx,medium,333.2945808542694,1876326.8722291165,1876660.1668099707,0.0005503328232426837,1.7848440917153585,1.7853944245386013
16,3,NOx,sov,67806.16414291873,28271066.718754895,28338872.882897813,0.021355085528051505,7.56137691959585,7.582732005123901
17,3,NOx,transit,0.0,115315.10718802585,115315.10718802585,0.0,0.8397750297598181,0.8397750297598181
18,5,Methane,heavy,744.6193929708177,1309565.7938889738,1310310.4132819446,0.00019412599884445698,0.1259812484990786,0.12617537449792307
