pollutant_name,veh_type,total_daily_tons,vmt
Atmospheric CO2,heavy,3055.62145907541,2058645.8943640334
Atmospheric CO2,light,14461.69290505266,49715247.65983881
Atmospheric CO2,medium,1159.9674896723411,2288886.7198215625
CO,heavy,5.511438455659758,2058645.8943640334
CO,light,52.89090997885039,49715247.65983881
CO,medium,3.137355095037748,2288886.7198215625
CO2 Equivalent,heavy,3069.428649326033,2058645.8943640334
CO2 Equivalent,light,14496.152762828197,49715247.65983881
CO2 Equivalent,medium,1167.3468860790238,2288886.7198215625
Composite NonECPM,heavy,0.0207837398613291,2058645.8943640334
Composite NonECPM,light,0.024598816013003,49715247.65983881
Composite NonECPM,medium,0.0055953194754411,2288886.7198215625
Elemental Carbon,heavy,0.0329199939858209,2058645.8943640334
Elemental Carbon,light,0.0405832501988796,49715247.65983881
Elemental Carbon,medium,0.0022997182914291,2288886.7198215625
H20 Aerosol,heavy,0.0,2058645.8943640334
H20 Aerosol,light,0.0,49715247.65983881
H20 Aerosol,medium,0.0,2288886.7198215625
Methane,heavy,0.4727860687905154,2058645.8943640334
Methane,light,0.2562046664673587,49715247.65983881
Methane,medium,0.1957822939756968,2288886.7198215625
N20,heavy,0.0066809638643475,2058645.8943640334
N20,light,0.0941485561165449,49715247.65983881
N20,medium,0.0083397342627377,2288886.7198215625
NOx,heavy,7.913133258457636,2058645.8943640334
NOx,light,0.7252778386621178,49715247.65983881
NOx,medium,0.7965166657238854,2288886.7198215625
Non-methane HCs,heavy,0.1259870132161553,2058645.8943640334
Non-methane HCs,light,0.690522612518758,49715247.65983881
Non-methane HCs,medium,0.0880517862533379,2288886.7198215625
PM10 Brakewear,heavy,0.0,2058645.8943640334
PM10 Brakewear,light,0.0,49715247.65983881
PM10 Brakewear,medium,0.0,2288886.7198215625
PM10 Exhaust,heavy,0.0583818859159769,2058645.8943640334
PM10 Exhaust,light,0.0735463919305646,49715247.65983881
PM10 Exhaust,medium,0.0087853952072516,2288886.7198215625
PM10 Tirewear,heavy,0.0,2058645.8943640334
PM10 Tirewear,light,0.0,49715247.65983881
PM10 Tirewear,medium,0.0,2288886.7198215625
PM10 Total,heavy,0.5699828923550643,6175937.683092101
PM10 Total,light,2.823774004256712,149145742.97951642
PM10 Total,medium,0.2048864206023707,6866660.159464687
PM25 Brakewear,heavy,0.0,2058645.8943640334
PM25 Brakewear,light,0.0,49715247.65983881
PM25 Brakewear,medium,0.0,2288886.7198215625
PM25 Exhaust,heavy,0.0537037443142746,2058645.8943640334
PM25 Exhaust,light,0.065182077930286,49715247.65983881
PM25 Exhaust,medium,0.0078950335393593,2288886.7198215625
PM25 Tirewear,heavy,0.0,2058645.8943640334
PM25 Tirewear,light,0.0,49715247.65983881
PM25 Tirewear,medium,0.0,2288886.7198215625
PM25 Total,heavy,0.1195567032905445,6175937.683092101
PM25 Total,light,0.4234007836657534,149145742.97951642
PM25 Total,medium,0.033222864709638,6866660.159464687
Sulfate Particulate,heavy,0.0158737140190607,2058645.8943640334
Sulfate Particulate,light,0.0033244815250295,49715247.65983881
Sulfate Particulate,medium,0.0023920521071843,2288886.7198215625
Total Energy,heavy,41573934.886500776,2058645.8943640334
Total Energy,light,200995035.31622708,49715247.65983881
Total Energy,medium,16012458.746808186,2288886.7198215625
Total Gaseous HCs,heavy,0.5987737117306383,2058645.8943640334
Total Gaseous HCs,light,0.9469415323603476,49715247.65983881
Total Gaseous HCs,medium,0.2838736424890354,2288886.7198215625
VOCs,heavy,0.129331688472212,2058645.8943640334
VOCs,light,0.6715277828567912,49715247.65983881
VOCs,medium,0.0720608459939042,2288886.7198215625
