pollutantID,pollutant_name,veh_type,intrazonal_vmt,interzonal_vmt,intrazonal_tons,interzonal_tons,running_daily_tons
1,Total Gaseous HCs,heavy,93.89648597208229,27231.41206570714,7.397700374850684e-05,0.013530523817501468,0.013604500821249975
1,Total Gaseous HCs,light,76.71671364,375449.980004933,1.2356991216135721e-05,0.03742572702178026,0.03743808401299639
1,Total Gaseous HCs,medium,2.7627973601152096,17689.44527901021,1.2563271045206155e-06,0.0044146643876861805,0.004415920714790701
1,Total Gaseous HCs,transit,0.0,338.6830927238858,0.0,0.0008137899179464043,0.0008137899179464043
2,CO,heavy,93.89648597208229,27231.41206570714,0.0005123367860580698,0.09857086640990492,0.09908320319596299
2,CO,light,76.71671364,375449.980004933,0.0003876656645327843,1.2155237771479004,1.2159114428124331
2,CO,medium,2.7627973601152096,17689.44527901021,1.8702145826882736e-05,0.08050028253613123,0.08051898468195812
2,CO,transit,0.0,338.6830927238858,0.0,0.0029064434692235865,0.0029064434692235865
3,NOx,heavy,93.89648597208229,27231.41206570714,0.001440452934558267,0.30670117225424304,0.3081416251888013
3,NOx,light,76.71671364,375449.980004933,3.948578855094104e-05,0.16066630454414516,0.1607057903326961
3,NOx,medium,2.7627973601152096,17689.44527901021,5.9884833333570455e-06,0.025763071702998165,0.025769060186331523
3,NOx,transit,0.0,338.6830927238858,0.0,0.003771204322845711,0.003771204322845711
5,Methane,heavy,93.89648597208229,27231.41206570714,1.5781839672729676e-05,0.00273869499763376,0.00275447683730649
5,Methane,light,76.71671364,375449.980004933,2.1723055537337034e-06,0.006666456125087366,0.006668628430641099
5,Methane,medium,2.7627973601152096,17689.44527901021,2.932654141815093e-07,0.0009874355404730227,0.0009877288058872042
5,Methane,transit,0.0,338.6830927238858,0.0,0.0005450143801910972,0.0005450143801910972
6,N20,heavy,93.89648597208229,27231.41206570714,5.578606193519144e-07,9.147952269800639e-05,9.20373833173583e-05
6,N20,light,76.71671364,375449.980004933,5.314389232312355e-07,0.0014470629093749172,0.0014475943482981485
6,N20,medium,2.7627973601152096,17689.44527901021,3.356494884830367e-08,0.00011679057250772742,0.00011682413745657572
6,N20,transit,0.0,338.6830927238858,0.0,4.048799561507778e-06,4.048799561507778e-06
79,Non-methane HCs,heavy,93.89648597208229,27231.41206570714,5.8195164075777156e-05,0.01079182449471407,0.010850019658789848
79,Non-methane HCs,light,76.71671364,375449.980004933,1.0184680752705479e-05,0.03075928172820099,0.030769466408953693
79,Non-methane HCs,medium,2.7627973601152096,17689.44527901021,9.6306142938368e-07,0.0034272277402462446,0.0034281908016756285
79,Non-methane HCs,transit,0.0,338.6830927238858,0.0,0.0002687762434224011,0.0002687762434224011
87,VOCs,heavy,93.89648597208229,27231.41206570714,6.617580200448833e-05,0.012270004087813527,0.012336179889818015
87,VOCs,light,76.71671364,375449.980004933,1.0809124603007187e-05,0.03279631203413622,0.03280712115873923
87,VOCs,medium,2.7627973601152096,17689.44527901021,1.0658911776262668e-06,0.0037808258736347416,0.003781891764812368
87,VOCs,transit,0.0,338.6830927238858,0.0,0.0003082681015877143,0.0003082681015877143
90,Atmospheric CO2,heavy,93.89648597208229,27231.41206570714,0.2366867501195472,54.48807360796167,54.72476035808121
90,Atmospheric CO2,light,76.71671364,375449.980004933,0.041554451826956045,149.35398554734593,149.39553999917288
90,Atmospheric CO2,medium,2.7627973601152096,17689.44527901021,0.0025066418400747676,11.428183127562747,11.430689769402822
90,Atmospheric CO2,transit,0.0,338.6830927238858,0.0,0.6562526393188093,0.6562526393188093
91,Total Energy,heavy,93.89648597208229,27231.41206570714,3216.151827164359,740354.2244109735,743570.3762381378
91,Total Energy,light,76.71671364,375449.980004933,577.8793858332094,2077019.4741348063,2077597.3535206395
91,Total Energy,medium,2.7627973601152096,17689.44527901021,34.570054527913584,157665.79998685024,157700.37004137816
91,Total Energy,transit,0.0,338.6830927238858,0.0,9044.708050518851,9044.708050518851
98,CO2 Equivalent,heavy,93.89648597208229,27231.41206570714,0.23724731214080058,54.58382276236716,54.821070074507965
98,CO2 Equivalent,light,76.71671364,375449.980004933,0.04176715877359226,149.95188435429705,149.99365151307063
98,CO2 Equivalent,medium,2.7627973601152096,17689.44527901021,0.002523975630712131,11.487671386106927,11.490195361737639
98,CO2 Equivalent,transit,0.0,338.6830927238858,0.0,0.6710851789064666,0.6710851789064666
100,PM10 Exhaust,heavy,93.89648597208229,27231.41206570714,4.89582850612455e-05,0.010374965906414034,0.01042392419147528
100,PM10 Exhaust,light,76.71671364,375449.980004933,7.320649089929159e-07,0.0021887535994365667,0.0021894856643455596
100,PM10 Exhaust,medium,2.7627973601152096,17689.44527901021,1.6058091086320132e-07,0.00061450313790348,0.0006146637188143432
100,PM10 Exhaust,transit,0.0,338.6830927238858,0.0,8.018111631738858e-05,8.018111631738858e-05
106,PM10 Brakewear,heavy,93.89648597208229,27231.41206570714,5.990952611665542e-05,0.007888834851642088,0.007948744377758743
106,PM10 Brakewear,light,76.71671364,375449.980004933,5.9573980393573786e-06,0.013682844032560735,0.013688801430600092
106,PM10 Brakewear,medium,2.7627973601152096,17689.44527901021,4.1247183187840034e-07,0.001114697114263151,0.0011151095860950295
106,PM10 Brakewear,transit,0.0,338.6830927238858,0.0,9.564592973078658e-05,9.564592973078658e-05
107,PM10 Tirewear,heavy,93.89648597208229,27231.41206570714,4.673340782613701e-06,0.001061798934792306,0.0010664722755749196
107,PM10 Tirewear,light,76.71671364,375449.980004933,1.065771600900972e-06,0.003788628366189118,0.003789694137790019
107,PM10 Tirewear,medium,2.7627973601152096,17689.44527901021,4.944483343489879e-08,0.00022889896722325017,0.00022894841205668508
107,PM10 Tirewear,transit,0.0,338.6830927238858,0.0,7.826691106023606e-06,7.826691106023606e-06
110,PM25 Exhaust,heavy,93.89648597208229,27231.41206570714,4.504129925243411e-05,0.009544903604507753,0.009589944903760188
110,PM25 Exhaust,light,76.71671364,375449.980004933,6.562488495710496e-07,0.0019620877299117772,0.0019627439787613483
110,PM25 Exhaust,medium,2.7627973601152096,17689.44527901021,1.4685179692141176e-07,0.0005616096308680034,0.0005617564826649248
110,PM25 Exhaust,transit,0.0,338.6830927238858,0.0,7.362655758987277e-05,7.362655758987277e-05
112,Elemental Carbon,heavy,93.89648597208229,27231.41206570714,3.387807557431164e-05,0.007261271539668547,0.007295149615242859
112,Elemental Carbon,light,76.71671364,375449.980004933,2.3765610418253767e-07,0.0007309424950968725,0.000731180151201055
112,Elemental Carbon,medium,2.7627973601152096,17689.44527901021,9.073302810354359e-08,0.00034992901282100285,0.0003500197458491064
112,Elemental Carbon,transit,0.0,338.6830927238858,0.0,5.25085950243855e-05,5.25085950243855e-05
115,Sulfate Particulate,heavy,93.89648597208229,27231.41206570714,1.8985212188153234e-06,0.00038233421111830737,0.00038423273233712267
115,Sulfate Particulate,light,76.71671364,375449.980004933,2.223168693762539e-08,6.706288401550215e-05,6.708511570243977e-05
115,Sulfate Particulate,medium,2.7627973601152096,17689.44527901021,9.55751067568815e-09,3.480388085803906e-05,3.481343836871475e-05
115,Sulfate Particulate,transit,0.0,338.6830927238858,0.0,1.8610840349390806e-06,1.8610840349390806e-06
116,PM25 Brakewear,heavy,93.89648597208229,27231.41206570714,7.4886860697576305e-06,0.0009861040088522885,0.000993592694922046
116,PM25 Brakewear,light,76.71671364,375449.980004933,7.446745631278882e-07,0.0017103559971042574,0.0017111006716673852
116,PM25 Brakewear,medium,2.7627973601152096,17689.44527901021,5.1559048054734026e-08,0.0001393371286745706,0.00013938868772262535
116,PM25 Brakewear,transit,0.0,338.6830927238858,0.0,1.195574744068941e-05,1.195574744068941e-05
117,PM25 Tirewear,heavy,93.89648597208229,27231.41206570714,7.009973615326164e-07,0.00015926907110654442,0.00015997006846807705
117,PM25 Tirewear,light,76.71671364,375449.980004933,1.5986535655157764e-07,0.0005682917432243313,0.0005684516085808829
117,PM25 Tirewear,medium,2.7627973601152096,17689.44527901021,7.416674257282078e-09,3.433472444335562e-05,3.43421411176129e-05
117,PM25 Tirewear,transit,0.0,338.6830927238858,0.0,1.1739960984039252e-06,1.1739960984039252e-06
118,Composite NonECPM,heavy,93.89648597208229,27231.41206570714,1.1163165424248918e-05,0.0022836262526866277,0.0022947894181108764
118,Composite NonECPM,light,76.71671364,375449.980004933,4.185925935134668e-07,0.0012311448701579984,0.0012315634627515118
118,Composite NonECPM,medium,2.7627973601152096,17689.44527901021,5.611876881786817e-08,0.00021168041984726007,0.00021173653861607795
118,Composite NonECPM,transit,0.0,338.6830927238858,0.0,2.1117972460610683e-05,2.1117972460610683e-05
119,H20 Aerosol,heavy,93.89648597208229,27231.41206570714,0.0,0.0,0.0
119,H20 Aerosol,light,76.71671364,375449.980004933,0.0,0.0,0.0
119,H20 Aerosol,medium,2.7627973601152096,17689.44527901021,0.0,0.0,0.0
119,H20 Aerosol,transit,0.0,338.6830927238858,0.0,0.0,0.0
PM10,PM10 Total,heavy,281.68945791624685,81694.23619712141,0.00011354115196051462,0.019325599692848427,0.019439140844808942
PM10,PM10 Total,light,230.15014091999998,1126349.9400147991,7.755234549251267e-06,0.019660225998186422,0.019667981232735672
PM10,PM10 Total,medium,8.288392080345629,53068.33583703064,6.224975761765005e-07,0.0019580992193898813,0.0019587217169660578
PM10,PM10 Total,transit,0.0,1016.0492781716574,0.0,0.00018365373715419875,0.00018365373715419875
PM25,PM25 Total,heavy,281.68945791624685,81694.23619712141,5.323098268372436e-05,0.010690276684466586,0.01074350766715031
PM25,PM25 Total,light,230.15014091999998,1126349.9400147991,1.5607887692505157e-06,0.004240735470240366,0.004242296259009617
PM25,PM25 Total,medium,8.288392080345629,53068.33583703064,2.0582751923342786e-07,0.0007352814839859295,0.000735487311505163
PM25,PM25 Total,transit,0.0,1016.0492781716574,0.0,8.67563011289661e-05,8.67563011289661e-05
