hhno hhsize hhvehs hhwkrs hhftw hhptw hhret hhoad hhuni hhhsc hh515 hhcu5 hhincome hownrent hrestype hhparcel hhtaz hhexpfac samptype
300001 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 771849 422 4.1610 3
300002 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1227150 629 4.1610 3
300004 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1747 553 16.5140 1
300005 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1434 240 3.9070 3
300007 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1475 281 3.9070 3
300010 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1945 752 4.1610 3
300013 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1769 575 14.6670 2
300014 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1137159 1840 3.9070 3
300015 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1276024 589 4.1610 3
300016 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 786754 574 14.6380 2
300018 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2382 1830 3.9070 3
300019 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2372 1820 15.5050 1
300022 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1209040 69 12.3090 2
300028 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 820296 278 4.1610 3
300031 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1222602 568 14.6670 2
300033 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1501 307 12.7850 2
300035 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1843 649 14.1140 2
300038 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 761426 1691 4.1610 3
300041 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1962 772 13.8890 2
300042 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1261489 795 7.9200 3
300045 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1779 585 14.0530 2
300047 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 960341 754 7.9200 3
300048 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1504 310 12.0040 2
300050 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1092451 75 3.9070 3
300052 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1208314 534 14.6380 2
300058 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 2398 1846 3.9070 3
300060 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 960413 754 7.9200 3
300063 1 2 0 0 0 0 0 1 0 0 0 -1 -1 -1 1368 172 13.8840 2
300066 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 751715 304 12.6360 2
300079 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 822802 991 27.9490 2
300082 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1756 562 7.9200 3
300083 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 995564 398 14.6670 2
300085 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1209040 69 11.8640 2
300086 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1115699 427 4.1610 3
300087 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1160869 17 3.9070 3
300089 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 1024415 309 4.1610 3
300090 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 1037154 148 15.1230 2
300094 1 1 0 0 0 0 0 1 0 0 0 -1 -1 -1 977776 624 7.9200 3
300095 1 0 0 0 0 0 0 1 0 0 0 -1 -1 -1 752943 658 4.1610 3
