hhno pno pptyp pagey pgend pwtyp pwpcl pwtaz pwautime pwaudist pstyp pspcl pstaz psautime psaudist puwmode puwarrp puwdepp ptpass ppaidprk pdiary pproxy psexpfac
300001 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300002 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 4.1610
300004 1 5 17 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 16.5140
300005 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300007 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300010 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300013 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6670
300014 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300015 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300016 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6380
300018 1 5 17 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300019 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 15.5050
300022 1 5 50 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.3090
300028 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 566 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 4.1610
300031 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 427 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6670
300033 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.7850
300035 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.1140
300038 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300041 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 400 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.8890
300042 1 5 21 2 0 0 -1 -1.00 -1.00 1 1089776 797 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300045 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.0530
300047 1 5 21 1 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300048 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.0040
300050 1 5 17 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300052 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6380
300058 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300060 1 5 21 1 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 7.9200
300063 1 5 60 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.8840
300066 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 502 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.6360
300079 1 5 50 3 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 27.9490
300082 1 5 30 3 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300083 1 5 30 3 0 0 -1 -1.00 -1.00 1 1078364 566 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6670
300085 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 11.8640
300086 1 5 40 2 0 0 -1 -1.00 -1.00 1 1078364 553 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300087 1 5 21 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300089 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 551 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300090 1 5 80 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 15.1230
300094 1 5 30 2 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300095 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300098 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 626 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300101 1 5 21 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300104 1 5 17 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300105 1 5 40 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.0400
300106 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300118 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300119 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300130 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300131 1 5 50 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300137 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300142 1 5 50 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 15.0400
300148 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6670
300155 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 553 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.9490
300157 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 4.1610
300163 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 16.5140
300165 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300166 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300178 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300179 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300181 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300183 1 5 21 3 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300185 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 13.3820
300187 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.1680
300191 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300192 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300193 1 5 60 1 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300198 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.7710
300201 1 5 21 2 0 0 -1 -1.00 -1.00 1 797163 302 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 4.4430
300202 1 5 21 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 13.5320
300207 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300208 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 1359 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300209 1 5 17 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300213 1 5 50 1 0 0 -1 -1.00 -1.00 1 1089776 797 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 7.9200
300229 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300231 1 5 50 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.4300
300236 1 5 50 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300240 1 5 17 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300242 1 5 21 2 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300243 1 5 40 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300244 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.5320
300250 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 515 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.2720
300259 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1280
300262 1 5 60 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300264 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300267 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 321 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300268 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 16.5140
300269 1 5 40 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300278 1 5 17 1 0 0 -1 -1.00 -1.00 1 797163 302 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 15.0040
300280 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300281 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 1750 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.6900
300285 1 5 30 2 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300288 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 258 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300294 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300295 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 628 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300296 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 11.9810
300298 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1280
300302 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300305 1 5 21 2 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300307 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300309 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 427 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 16.5140
300312 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 186 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300313 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300317 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 220 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300318 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300320 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300321 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.6810
300322 1 5 30 1 0 0 -1 -1.00 -1.00 1 1089776 874 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 26.9910
300325 1 5 40 2 0 0 -1 -1.00 -1.00 1 932775 218 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.0400
300328 1 5 40 1 0 0 -1 -1.00 -1.00 1 740439 1512 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 568.3730
300334 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 239 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.0400
300335 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300338 1 5 40 1 0 0 -1 -1.00 -1.00 1 932775 505 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300339 1 5 21 1 0 0 -1 -1.00 -1.00 1 740439 1512 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 169.8780
300341 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300342 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300343 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.2050
300346 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 282 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300353 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 67 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300355 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300356 1 5 40 2 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 28.1470
300358 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300359 1 5 40 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 4.1610
300361 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 14.6380
300365 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300366 1 5 17 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300372 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.5890
300375 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6380
300379 1 5 40 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.2050
300382 1 5 21 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300384 1 5 21 1 0 0 -1 -1.00 -1.00 1 104918 2252 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 41.0590
300392 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.0400
300395 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6380
300400 1 5 50 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300402 1 5 17 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300403 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.9750
300405 1 5 17 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300408 1 5 21 1 0 0 -1 -1.00 -1.00 1 104918 2252 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 10.2650
300411 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300413 1 5 30 2 0 0 -1 -1.00 -1.00 1 797163 302 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.6750
300414 1 5 60 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.5770
300416 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300417 1 5 30 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 11.9810
300418 1 5 30 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6670
300422 1 5 21 1 0 0 -1 -1.00 -1.00 1 104918 2252 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 32.9510
300430 1 5 21 1 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 7.9200
300432 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300435 1 5 21 2 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 31.4340
300440 1 5 17 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300441 1 5 50 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300443 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300445 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.5920
300448 1 5 21 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300456 1 5 21 1 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300461 1 5 40 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 15.0400
300463 1 5 60 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.4670
300469 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.7850
300480 1 5 40 1 0 0 -1 -1.00 -1.00 1 932775 69 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 3.9070
300482 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 4.1610
300483 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6380
300488 1 5 21 1 0 0 -1 -1.00 -1.00 1 1089776 756 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 26.9380
300490 1 5 40 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 15.1870
300493 1 5 60 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
300503 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 16.5140
300506 1 5 30 2 0 0 -1 -1.00 -1.00 1 1078364 552 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.6670
300508 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 13.6810
300509 1 5 21 2 0 0 -1 -1.00 -1.00 1 1078364 567 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 14.0250
300514 1 5 60 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 12.5770
300515 1 5 21 1 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 1 -1 -1 3.9070
300520 1 5 30 2 0 0 -1 -1.00 -1.00 1 932775 72 -1.00 -1.00 -1 -1 -1 -1 -1 -1 -1 3.9070
